.null	0000
Iogonek	012E
iogonek	012F
dotlessj	0237
Jcircumflex	0134
jcircumflex	0135
Kcommaaccent	0136
kcommaaccent	0137
kgreenlandic	0138
Lacute	0139
lacute	013A
Lcaron	013D
lcaron	013E
Lcommaaccent	013B
lcommaaccent	013C
Lslash	0141
lslash	0142
Ldot	013F
ldot	0140
Nacute	0143
nacute	0144
Ntilde	00D1
ntilde	00F1
Ncaron	0147
ncaron	0148
Ncommaaccent	0145
ncommaaccent	0146
Nhookleft	019D
nhookleft	0272
Eng	014A
eng	014B
napostrophe	0149
Ograve	00D2
ograve	00F2
Oacute	00D3
oacute	00F3
Ocircumflex	00D4
ocircumflex	00F4
Otilde	00D5
otilde	00F5
Odieresis	00D6
odieresis	00F6
Omacron	014C
omacron	014D
Obreve	014E
obreve	014F
Ohungarumlaut	0150
ohungarumlaut	0151
Odotbelow	1ECC
odotbelow	1ECD
Oogonek	01EA
oogonek	01EB
Oslash	00D8
oslash	00F8
Oslashacute	01FE
oslashacute	01FF
OE	0152
oe	0153
Racute	0154
racute	0155
Rcaron	0158
rcaron	0159
Rcommaaccent	0156
rcommaaccent	0157
Sacute	015A
sacute	015B
Scircumflex	015C
scircumflex	015D
Scaron	0160
scaron	0161
Scedilla	015E
scedilla	015F
Scommaaccent	0218
scommaaccent	0219
uni1E9E	1E9E
germandbls	00DF
Tcaron	0164
tcaron	0165
uni0162	0162
uni0163	0163
uni021A	021A
uni021B	021B
Tbar	0166
tbar	0167
Thorn	00DE
thorn	00FE
Ugrave	00D9
ugrave	00F9
Uacute	00DA
uacute	00FA
Ucircumflex	00DB
ucircumflex	00FB
Utilde	0168
utilde	0169
Udieresis	00DC
udieresis	00FC
Umacron	016A
umacron	016B
Ubreve	016C
ubreve	016D
Uring	016E
uring	016F
Uhungarumlaut	0170
uhungarumlaut	0171
Udotbelow	1EE4
udotbelow	1EE5
Uogonek	0172
uogonek	0173
Wgrave	1E80
wgrave	1E81
Wacute	1E82
wacute	1E83
Wcircumflex	0174
wcircumflex	0175
Wdieresis	1E84
wdieresis	1E85
Ygrave	1EF2
ygrave	1EF3
Yacute	00DD
yacute	00FD
Ycircumflex	0176
ycircumflex	0177
Ytilde	1EF8
ytilde	1EF9
Ydieresis	0178
ydieresis	00FF
Ymacron	0232
ymacron	0233
Zacute	0179
zacute	017A
Zcaron	017D
zcaron	017E
Zdotaccent	017B
zdotaccent	017C
IJ	0132
ij	0133
IJacute	E133
ijacute	E132
Schwa	018F
schwa	0259
f_f	FB00
fi	FB01
fl	FB02
f_ij	EB01
f_f_i	FB03
f_f_l	FB04
f_f_ij	EB03
ampersand	0026
at	0040
asterisk	002A
copyright	00A9
registered	00AE
trademark	2122
asciicircum	005E
asciitilde	007E
grave	0060
acute	00B4
circumflex	02C6
caron	02C7
tilde	02DC
dieresis	00A8
macron	00AF
uni02C9	02C9
breve	02D8
ring	02DA
hungarumlaut	02DD
dotaccent	02D9
cedilla	00B8
dotbelowcomb	0323
ogonek	02DB
commaaccent	0326
uni00AD	00AD
hyphen	002D
endash	2013
emdash	2014
underscore	005F
period	002E
comma	002C
colon	003A
semicolon	003B
exclam	0021
exclamdown	00A1
question	003F
questiondown	00BF
ellipsis	2026
periodcentered	00B7
uni2219	2219
bullet	2022
slash	002F
backslash	005C
bar	007C
brokenbar	00A6
parenleft	0028
parenright	0029
bracketleft	005B
bracketright	005D
braceleft	007B
braceright	007D
quotesingle	0027
quotedbl	0022
quoteleft	2018
quoteright	2019
quotedblleft	201C
quotedblright	201D
quotesinglbase	201A
quotedblbase	201E
guilsinglleft	2039
guilsinglright	203A
guillemotleft	00AB
guillemotright	00BB
paragraph	00B6
uniF8FF	F8FF
numbersign	0023
zero	0030
one	0031
two	0032
three	0033
four	0034
five	0035
six	0036
seven	0037
eight	0038
nine	0039
fraction	2044
uni2215	2215
onequarter	00BC
onehalf	00BD
threequarters	00BE
degree	00B0
percent	0025
perthousand	2030
plus	002B
minus	2212
plusminus	00B1
equal	003D
notequal	2260
approxequal	2248
multiply	00D7
less	003C
greater	003E
lessequal	2264
greaterequal	2265
divide	00F7
logicalnot	00AC
dagger	2020
daggerdbl	2021
section	00A7
Euro	20AC
currency	00A4
dollar	0024
cent	00A2
florin	0192
sterling	00A3
yen	00A5
onesuperior	00B9
twosuperior	00B2
threesuperior	00B3
ordfeminine	00AA
ordmasculine	00BA
uni2116	2116
Delta	2206
Deltagreek	0394
Omega	2126
Omegagreek	03A9
mu	00B5
mugreek	03BC
pi	03C0
uni2113	2113
estimated	212E
infinity	221E
partialdiff	2202
integral	222B
radical	221A
summation	2211
product	220F
lozenge	25CA
